created_date,Agency,datasets_created
2021-05-14,CDC,9
2021-05-19,CDC,1
2021-05-20,CDC,6
2021-05-24,CDC,7
2021-05-25,CDC,5
2021-06-03,CDC,1
2021-06-07,CDC,2
2021-06-15,CDC,1
2021-06-23,CDC,1
2021-07-01,CDC,1
2021-07-07,CDC,1
2021-07-12,CDC,1
2021-07-19,CDC,1
2021-07-20,CDC,3
2021-07-21,CDC,1
2021-08-06,CDC,2
2021-08-10,CDC,1
2021-08-26,CDC,2
2021-08-31,CDC,3
2021-09-01,CDC,2
2021-09-14,CDC,1
2021-09-15,CDC,1
2021-09-27,CDC,2
2021-09-29,CDC,8
2021-10-05,CDC,1
2021-10-06,CDC,3
2021-10-19,CDC,2
2021-10-21,CDC,1
2021-10-27,CDC,2
2021-10-28,CDC,1
2021-11-16,CDC,2
2021-11-17,CDC,1
2021-11-18,CDC,1
2021-11-19,CDC,1
2021-11-29,CDC,1
2021-11-30,CDC,1
2021-12-02,CDC,1
2021-12-03,CDC,1
2021-12-22,CDC,1
2021-12-28,CDC,1
2021-12-29,CDC,26
2021-12-30,CDC,10
2022-01-03,CDC,5
2022-01-06,CDC,1
2022-01-14,CDC,1
2022-01-25,CDC,1
2022-02-03,CDC,1
2022-02-08,CDC,1
2022-02-18,CDC,1
2022-02-25,CDC,4
2022-02-28,CDC,1
2022-03-03,CDC,1
2022-03-23,CDC,1
2022-03-28,CDC,1
2022-03-30,CDC,1
2022-04-15,CDC,1
2022-05-11,CDC,1
2022-05-16,CDC,1
2022-05-17,CDC,1
2022-05-27,CDC,1
2022-05-31,CDC,1
2022-06-02,CDC,2
2022-06-07,CDC,3
2022-06-08,CDC,1
2022-06-13,CDC,1
2022-06-14,CDC,2
2022-06-15,CDC,7
2022-06-16,CDC,6
2022-06-23,CDC,3
2022-07-21,CDC,1
2022-07-25,CDC,1
2022-07-28,CDC,4
2022-08-30,CDC,1
2022-09-01,CDC,1
2022-09-09,CDC,1
2022-09-28,CDC,5
2022-10-04,CDC,9
2022-10-06,CDC,3
2022-10-11,CDC,1
2022-10-17,CDC,2
2022-10-18,CDC,1
2022-10-24,CDC,1
2022-10-27,CDC,1
2022-10-31,CDC,1
2022-11-18,CDC,1
2022-11-23,CDC,2
2022-11-25,CDC,2
2022-12-01,CDC,2
2022-12-07,CDC,1
2022-12-09,CDC,1
2022-12-19,CDC,1
2022-12-20,CDC,4
2022-12-21,CDC,1
2022-12-22,CDC,1
2022-12-31,CDC,4
